Fecha,Sistema operativo,Número de vistas de página
2 jun 2019,Android,15
3 jun 2019,iOS,3
3 jun 2019,Linux,22
3 jun 2019,Windows,39
3 jun 2019,Android,71
4 jun 2019,iOS,2
4 jun 2019,Android,73
4 jun 2019,Windows,138
4 jun 2019,Windows Phone,4
4 jun 2019,(not set),2
5 jun 2019,Windows,65
5 jun 2019,Android,37
5 jun 2019,iOS,8
6 jun 2019,Windows,76
6 jun 2019,Macintosh,1
6 jun 2019,Android,38
6 jun 2019,iOS,15
7 jun 2019,Android,18
7 jun 2019,Windows,67
8 jun 2019,iOS,62
8 jun 2019,Windows,40
8 jun 2019,Android,60
9 jun 2019,Android,16
9 jun 2019,Windows,107
9 jun 2019,iOS,5
9 jun 2019,Macintosh,1
10 jun 2019,Android,26
10 jun 2019,Windows,79
10 jun 2019,Macintosh,12
10 jun 2019,iOS,2
11 jun 2019,Android,27
11 jun 2019,Windows,77
12 jun 2019,Macintosh,1
12 jun 2019,Windows,144
12 jun 2019,Android,237
13 jun 2019,Linux,3
13 jun 2019,Android,42
13 jun 2019,Windows,94
13 jun 2019,iOS,2
14 jun 2019,iOS,1
14 jun 2019,Windows,32
14 jun 2019,Android,29
15 jun 2019,Android,5
15 jun 2019,Windows,35
15 jun 2019,iOS,1
16 jun 2019,Windows,14
16 jun 2019,Macintosh,1
16 jun 2019,Android,4
17 jun 2019,Android,12
17 jun 2019,Windows,19
18 jun 2019,Windows,117
18 jun 2019,iOS,1
18 jun 2019,Linux,4
18 jun 2019,Android,41
19 jun 2019,Windows,18
19 jun 2019,Android,13
19 jun 2019,Linux,2
20 jun 2019,Android,32
20 jun 2019,Windows,38
20 jun 2019,iOS,3
21 jun 2019,Android,42
21 jun 2019,Windows,141
22 jun 2019,Windows,17
22 jun 2019,(not set),1
22 jun 2019,Android,7
23 jun 2019,Android,17
23 jun 2019,Windows,25
23 jun 2019,Macintosh,1
24 jun 2019,Android,29
24 jun 2019,Windows,42
25 jun 2019,Linux,10
25 jun 2019,Android,47
25 jun 2019,iOS,1
25 jun 2019,Windows,57
26 jun 2019,Android,32
26 jun 2019,Windows,93
26 jun 2019,Linux,5
27 jun 2019,Android,25
27 jun 2019,Linux,3
27 jun 2019,Windows,73
27 jun 2019,iOS,2
28 jun 2019,iOS,1
28 jun 2019,Android,2
28 jun 2019,Windows,95
29 jun 2019,Android,14
29 jun 2019,Linux,1
29 jun 2019,Windows,55
30 jun 2019,iOS,1
30 jun 2019,Windows,79
30 jun 2019,Android,34
1 jul 2019,Linux,1
1 jul 2019,Windows,60
1 jul 2019,iOS,21
1 jul 2019,Android,15
2 jul 2019,Windows,83
2 jul 2019,Chrome OS,3
2 jul 2019,Macintosh,1
2 jul 2019,Android,51
3 jul 2019,Windows,80
3 jul 2019,Chrome OS,6
3 jul 2019,Android,44
3 jul 2019,iOS,11
4 jul 2019,Windows,51
4 jul 2019,Android,31
4 jul 2019,iOS,1
4 jul 2019,Linux,3
5 jul 2019,Windows,86
5 jul 2019,Macintosh,2
5 jul 2019,iOS,1
5 jul 2019,Android,25
6 jul 2019,Android,21
6 jul 2019,Windows,63
7 jul 2019,Android,4
7 jul 2019,Windows,1
8 jul 2019,Windows,57
8 jul 2019,Android,6
8 jul 2019,iOS,1
9 jul 2019,Android,37
9 jul 2019,Windows,32
10 jul 2019,iOS,8
10 jul 2019,Macintosh,1
10 jul 2019,Android,70
10 jul 2019,Windows,24
11 jul 2019,Android,17
11 jul 2019,Windows,83
