Fecha,Categoría de dispositivo,Número de vistas de página
7 sept 2019,desktop,56
7 sept 2019,tablet,2
8 sept 2019,mobile,31
8 sept 2019,desktop,25
8 sept 2019,tablet,3
9 sept 2019,desktop,138
9 sept 2019,mobile,61
10 sept 2019,mobile,18
10 sept 2019,desktop,172
11 sept 2019,tablet,7
11 sept 2019,desktop,120
11 sept 2019,mobile,20
12 sept 2019,tablet,1
12 sept 2019,desktop,82
12 sept 2019,mobile,49
13 sept 2019,mobile,50
13 sept 2019,desktop,86
14 sept 2019,mobile,10
14 sept 2019,desktop,15
15 sept 2019,mobile,13
15 sept 2019,desktop,24
16 sept 2019,desktop,367
16 sept 2019,mobile,57
17 sept 2019,mobile,78
17 sept 2019,desktop,288
18 sept 2019,desktop,186
18 sept 2019,mobile,58
19 sept 2019,desktop,89
19 sept 2019,mobile,23
19 sept 2019,tablet,1
20 sept 2019,desktop,42
20 sept 2019,mobile,28
21 sept 2019,desktop,17
21 sept 2019,mobile,15
22 sept 2019,desktop,11
22 sept 2019,mobile,11
23 sept 2019,mobile,26
23 sept 2019,desktop,376
24 sept 2019,desktop,78
24 sept 2019,mobile,7
25 sept 2019,mobile,40
25 sept 2019,desktop,55
26 sept 2019,tablet,2
26 sept 2019,mobile,52
26 sept 2019,desktop,26
27 sept 2019,desktop,30
27 sept 2019,mobile,32
28 sept 2019,mobile,10
28 sept 2019,desktop,45
30 sept 2019,mobile,19
30 sept 2019,desktop,73
1 oct 2019,mobile,41
1 oct 2019,desktop,71
2 oct 2019,desktop,54
2 oct 2019,mobile,47
3 oct 2019,mobile,93
3 oct 2019,desktop,112
4 oct 2019,desktop,140
4 oct 2019,mobile,25
5 oct 2019,desktop,20
5 oct 2019,mobile,82
6 oct 2019,mobile,38
6 oct 2019,tablet,1
6 oct 2019,desktop,20
7 oct 2019,desktop,109
7 oct 2019,mobile,59
8 oct 2019,mobile,13
8 oct 2019,desktop,31
9 oct 2019,mobile,30
9 oct 2019,desktop,23
10 oct 2019,tablet,2
10 oct 2019,desktop,58
10 oct 2019,mobile,50
11 oct 2019,mobile,26
11 oct 2019,desktop,22
12 oct 2019,desktop,15
12 oct 2019,mobile,11
13 oct 2019,desktop,198
13 oct 2019,mobile,22
14 oct 2019,mobile,31
14 oct 2019,tablet,8
14 oct 2019,desktop,52
15 oct 2019,desktop,81
15 oct 2019,mobile,59
16 oct 2019,mobile,65
16 oct 2019,desktop,101
17 oct 2019,desktop,156
17 oct 2019,mobile,88
18 oct 2019,mobile,64
18 oct 2019,desktop,66
19 oct 2019,desktop,41
19 oct 2019,mobile,26
20 oct 2019,mobile,9
20 oct 2019,desktop,21
21 oct 2019,desktop,119
21 oct 2019,mobile,29
22 oct 2019,mobile,34
22 oct 2019,desktop,166
23 oct 2019,mobile,34
23 oct 2019,desktop,144
24 oct 2019,desktop,100
24 oct 2019,mobile,55
25 oct 2019,desktop,91
25 oct 2019,mobile,16
26 oct 2019,desktop,3
26 oct 2019,mobile,5
27 oct 2019,desktop,29
27 oct 2019,mobile,25
27 oct 2019,tablet,2
28 oct 2019,desktop,148
28 oct 2019,mobile,15
29 oct 2019,mobile,36
29 oct 2019,desktop,470
30 oct 2019,desktop,117
30 oct 2019,mobile,33
31 oct 2019,mobile,42
31 oct 2019,desktop,108
1 nov 2019,desktop,141
1 nov 2019,mobile,18
2 nov 2019,mobile,16
2 nov 2019,desktop,12
3 nov 2019,desktop,21
3 nov 2019,mobile,12
4 nov 2019,mobile,43
4 nov 2019,desktop,132
5 nov 2019,mobile,47
5 nov 2019,desktop,99
6 nov 2019,desktop,153
6 nov 2019,mobile,52
7 nov 2019,mobile,34
7 nov 2019,desktop,132
8 nov 2019,mobile,7
8 nov 2019,desktop,55
9 nov 2019,desktop,13
9 nov 2019,mobile,17
10 nov 2019,desktop,31
10 nov 2019,mobile,15
11 nov 2019,mobile,10
11 nov 2019,desktop,185
12 nov 2019,desktop,91
12 nov 2019,mobile,26
13 nov 2019,desktop,154
13 nov 2019,mobile,23
14 nov 2019,mobile,20
14 nov 2019,desktop,125
15 nov 2019,desktop,99
15 nov 2019,mobile,27
16 nov 2019,desktop,12
16 nov 2019,mobile,24
17 nov 2019,desktop,19
17 nov 2019,mobile,3
18 nov 2019,mobile,24
18 nov 2019,desktop,23
19 nov 2019,desktop,59
19 nov 2019,mobile,112
20 nov 2019,desktop,99
20 nov 2019,mobile,33
21 nov 2019,mobile,33
21 nov 2019,desktop,74
22 nov 2019,mobile,20
22 nov 2019,desktop,58
23 nov 2019,mobile,19
23 nov 2019,desktop,47
24 nov 2019,mobile,19
24 nov 2019,desktop,39
25 nov 2019,desktop,86
25 nov 2019,mobile,7
26 nov 2019,mobile,110
26 nov 2019,desktop,130
27 nov 2019,mobile,25
27 nov 2019,desktop,72
28 nov 2019,desktop,116
28 nov 2019,mobile,28
29 nov 2019,desktop,23
29 nov 2019,mobile,4
30 nov 2019,desktop,44
30 nov 2019,mobile,6
1 dic 2019,mobile,20
1 dic 2019,desktop,29
2 dic 2019,mobile,8
2 dic 2019,desktop,42
3 dic 2019,desktop,60
3 dic 2019,mobile,15
4 dic 2019,desktop,81
4 dic 2019,mobile,20
5 dic 2019,mobile,43
5 dic 2019,desktop,36
6 dic 2019,desktop,47
6 dic 2019,mobile,23
7 dic 2019,desktop,19
7 dic 2019,mobile,4
8 dic 2019,mobile,5
8 dic 2019,desktop,28
9 dic 2019,desktop,67
9 dic 2019,mobile,4
10 dic 2019,desktop,199
10 dic 2019,mobile,68
11 dic 2019,desktop,37
11 dic 2019,mobile,11
11 dic 2019,tablet,1
12 dic 2019,mobile,38
12 dic 2019,desktop,39
13 dic 2019,mobile,20
13 dic 2019,tablet,1
13 dic 2019,desktop,80
14 dic 2019,mobile,6
15 dic 2019,desktop,14
16 dic 2019,mobile,8
16 dic 2019,desktop,61
17 dic 2019,desktop,22
17 dic 2019,mobile,3
18 dic 2019,desktop,20
18 dic 2019,mobile,5
19 dic 2019,desktop,47
19 dic 2019,mobile,9
20 dic 2019,mobile,1
20 dic 2019,desktop,16
21 dic 2019,mobile,1
21 dic 2019,desktop,1
22 dic 2019,desktop,23
22 dic 2019,mobile,4
23 dic 2019,desktop,25
23 dic 2019,mobile,17
24 dic 2019,mobile,4
25 dic 2019,mobile,1
25 dic 2019,desktop,26
26 dic 2019,desktop,20
26 dic 2019,mobile,1
27 dic 2019,mobile,18
27 dic 2019,desktop,39
28 dic 2019,desktop,9
28 dic 2019,mobile,1
29 dic 2019,desktop,4
29 dic 2019,mobile,2
30 dic 2019,desktop,4
30 dic 2019,mobile,48
31 dic 2019,desktop,3
1 ene 2020,desktop,2
1 ene 2020,mobile,13
2 ene 2020,desktop,4
2 ene 2020,mobile,3
3 ene 2020,mobile,7
3 ene 2020,desktop,51
4 ene 2020,mobile,7
4 ene 2020,desktop,21
5 ene 2020,mobile,1
5 ene 2020,desktop,4
6 ene 2020,mobile,1
6 ene 2020,desktop,12
7 ene 2020,mobile,3
7 ene 2020,desktop,11
8 ene 2020,desktop,23
8 ene 2020,mobile,29
9 ene 2020,desktop,3
9 ene 2020,mobile,40
10 ene 2020,mobile,21
11 ene 2020,tablet,4
11 ene 2020,desktop,15
12 ene 2020,desktop,1
12 ene 2020,mobile,3
13 ene 2020,mobile,5
13 ene 2020,desktop,1
14 ene 2020,mobile,1
14 ene 2020,desktop,9
15 ene 2020,mobile,1
15 ene 2020,desktop,5
16 ene 2020,desktop,29
17 ene 2020,mobile,9
17 ene 2020,desktop,20
18 ene 2020,desktop,25
18 ene 2020,mobile,20
19 ene 2020,desktop,3
19 ene 2020,tablet,1
19 ene 2020,mobile,3
20 ene 2020,mobile,3
20 ene 2020,desktop,10
21 ene 2020,mobile,11
21 ene 2020,desktop,31
22 ene 2020,mobile,12
22 ene 2020,desktop,3
23 ene 2020,mobile,3
23 ene 2020,desktop,49
24 ene 2020,mobile,4
24 ene 2020,desktop,26
25 ene 2020,mobile,2
25 ene 2020,desktop,9
26 ene 2020,desktop,1
26 ene 2020,mobile,4
27 ene 2020,mobile,5
27 ene 2020,desktop,11
28 ene 2020,desktop,19
28 ene 2020,mobile,11
29 ene 2020,mobile,5
29 ene 2020,desktop,15
30 ene 2020,mobile,3
30 ene 2020,desktop,26
31 ene 2020,mobile,20
31 ene 2020,desktop,3
1 feb 2020,mobile,1
1 feb 2020,desktop,36
2 feb 2020,desktop,25
3 feb 2020,desktop,38
3 feb 2020,mobile,9
4 feb 2020,desktop,7
4 feb 2020,mobile,2
5 feb 2020,desktop,31
5 feb 2020,mobile,2
6 feb 2020,mobile,7
6 feb 2020,desktop,39
7 feb 2020,mobile,2
7 feb 2020,desktop,9
8 feb 2020,mobile,1
