,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
114,30 ene 2019,31,9,9,1.0,9,31,0,15,16,0,10.333333333333334,7.318166133366716,0,16,0,15,0,0,0,0,0,3.1,6.204030947698441,0,26,0,5,7.75,10.73254396683284
115,31 ene 2019,59,6,9,1.1111111111111112,10,45,14,40,19,0,19.666666666666668,16.336734339790464,0,19,0,40,0,0,0,0,0,5.9,12.7,2,50,0,7,14.75,20.51066795596867
116,1 feb 2019,17,4,7,1.0,7,11,6,16,1,0,5.666666666666668,7.318166133366716,0,1,0,16,0,0,0,0,0,1.7,4.775981574503821,6,10,0,1,4.25,4.02336923485777
117,2 feb 2019,76,4,4,1.0,4,59,17,76,0,0,25.33333333333333,35.82674358011841,0,0,0,76,0,0,0,0,0,7.6,22.800000000000004,0,76,0,0,19.0,32.90896534380867
118,3 feb 2019,34,4,4,1.25,5,34,0,1,33,0,11.333333333333336,15.326085243430198,0,33,0,1,0,0,0,0,0,3.4,9.871170143402454,20,14,0,0,8.5,8.760707733967617
119,4 feb 2019,16,3,3,1.3333333333333333,4,16,0,10,6,0,5.333333333333333,4.109609335312651,0,6,0,10,0,0,0,0,0,1.6,3.3226495451672298,0,16,0,0,4.0,6.92820323027551
120,5 feb 2019,8,3,4,1.25,5,8,0,5,3,0,2.6666666666666665,2.0548046676563256,0,3,0,5,0,0,0,0,0,0.8,1.6613247725836149,0,8,0,0,2.0,3.4641016151377544
121,6 feb 2019,57,7,7,1.1428571428571428,8,47,10,48,9,0,19.0,20.83266665599966,0,9,0,48,0,0,0,0,0,5.7,14.353048456686823,1,56,0,0,14.25,24.1078306780183
122,7 feb 2019,22,8,10,1.0,10,15,7,18,4,0,7.333333333333332,7.717224601860151,1,4,0,17,0,0,0,0,0,2.2,5.075431016179809,2,16,3,1,5.5,6.103277807866851
123,8 feb 2019,20,7,8,1.0,8,18,2,19,1,0,6.666666666666668,8.73053390247253,3,1,0,15,1,0,0,0,0,2.0,4.427188724235731,1,19,0,0,5.0,8.093207028119322
