Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
6 nov 2022,19,11,13,1.2727272727272727,14
7 nov 2022,130,36,43,1.1395348837209303,49
8 nov 2022,122,30,37,1.2857142857142858,45
9 nov 2022,166,30,40,1.2105263157894737,46
10 nov 2022,86,35,45,1.170731707317073,48
11 nov 2022,107,28,44,1.3571428571428572,57
12 nov 2022,57,23,27,1.3043478260869565,30
13 nov 2022,42,23,30,1.4,35
14 nov 2022,140,27,41,1.205128205128205,47
15 nov 2022,163,24,32,1.3548387096774193,42
16 nov 2022,120,32,42,1.2,48
17 nov 2022,106,26,35,1.393939393939394,46
18 nov 2022,106,30,41,1.1842105263157894,45
19 nov 2022,1,1,1,1,1
23 nov 2022,132,35,46,1.25,55
24 nov 2022,89,31,37,1.3235294117647058,45
25 nov 2022,55,23,30,1.2857142857142858,36
