,Fecha,Número de vistas de página,Usuarios nuevos,Sesiones,mobile Número de vistas de página,mobile Usuarios nuevos,mobile Sesiones,desktop Número de vistas de página,desktop Usuarios nuevos,desktop Sesiones,tablet Número de vistas de página,tablet Usuarios nuevos,tablet Usuarios,tablet Número de sesiones por usuario,tablet Sesiones
1446,11 ago 2022,50,18,29,28,11,19,22,7,10,0.0,0.0,0.0,0.0,0.0
1447,12 ago 2022,34,14,21,11,5,9,23,9,12,0.0,0.0,0.0,0.0,0.0
1448,13 ago 2022,6,6,6,5,5,5,1,1,1,0.0,0.0,0.0,0.0,0.0
1449,14 ago 2022,4,3,4,2,1,2,2,2,2,0.0,0.0,0.0,0.0,0.0
1450,15 ago 2022,13,5,5,3,2,2,10,3,3,0.0,0.0,0.0,0.0,0.0
1451,16 ago 2022,94,18,29,25,8,12,69,10,17,0.0,0.0,0.0,0.0,0.0
1452,17 ago 2022,33,8,20,20,5,11,13,3,9,0.0,0.0,0.0,0.0,0.0
1453,18 ago 2022,37,12,20,25,8,15,12,4,5,0.0,0.0,0.0,0.0,0.0
1454,19 ago 2022,24,12,16,10,3,5,14,9,11,0.0,0.0,0.0,0.0,0.0
1455,20 ago 2022,14,4,8,8,3,5,6,1,3,0.0,0.0,0.0,0.0,0.0
1456,21 ago 2022,6,6,6,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0
1457,22 ago 2022,20,10,17,11,5,10,9,5,7,0.0,0.0,0.0,0.0,0.0
1458,23 ago 2022,14,5,9,6,3,3,8,2,6,0.0,0.0,0.0,0.0,0.0
1459,24 ago 2022,109,32,44,94,22,34,15,10,10,0.0,0.0,0.0,0.0,0.0
1460,25 ago 2022,46,15,26,21,6,12,25,9,14,0.0,0.0,0.0,0.0,0.0
1461,26 ago 2022,28,10,17,13,6,10,15,4,7,0.0,0.0,0.0,0.0,0.0
1462,27 ago 2022,29,9,14,11,5,8,18,4,6,0.0,0.0,0.0,0.0,0.0
1463,28 ago 2022,25,13,17,9,6,7,16,7,10,0.0,0.0,0.0,0.0,0.0
1464,29 ago 2022,49,10,15,8,4,6,41,6,9,0.0,0.0,0.0,0.0,0.0
1465,30 ago 2022,96,8,16,12,3,3,84,5,13,0.0,0.0,0.0,0.0,0.0
1466,31 ago 2022,21,4,5,0,0,0,21,4,5,0.0,0.0,0.0,0.0,0.0
1467,1 sept 2022,18,9,12,6,4,4,12,5,8,0.0,0.0,0.0,0.0,0.0
1468,2 sept 2022,33,7,13,13,4,8,20,3,5,0.0,0.0,0.0,0.0,0.0
1469,3 sept 2022,25,11,14,7,6,6,18,5,8,0.0,0.0,0.0,0.0,0.0
1470,4 sept 2022,7,4,6,2,0,1,5,4,5,0.0,0.0,0.0,0.0,0.0
1471,5 sept 2022,27,11,15,13,6,6,14,5,9,0.0,0.0,0.0,0.0,0.0
1472,6 sept 2022,46,16,26,29,9,16,17,7,10,0.0,0.0,0.0,0.0,0.0
1473,7 sept 2022,45,17,30,34,11,21,11,6,9,0.0,0.0,0.0,0.0,0.0
1474,8 sept 2022,72,18,35,27,9,16,45,9,19,0.0,0.0,0.0,0.0,0.0
1475,9 sept 2022,26,11,16,11,5,8,15,6,8,0.0,0.0,0.0,0.0,0.0
1476,10 sept 2022,34,10,19,23,6,13,11,4,6,0.0,0.0,0.0,0.0,0.0
1477,11 sept 2022,8,6,6,3,1,1,5,5,5,0.0,0.0,0.0,0.0,0.0
1478,12 sept 2022,12,7,11,7,5,6,5,2,5,0.0,0.0,0.0,0.0,0.0
1479,13 sept 2022,39,12,17,13,8,11,26,4,6,0.0,0.0,0.0,0.0,0.0
1480,14 sept 2022,20,12,16,10,7,8,10,5,8,0.0,0.0,0.0,0.0,0.0
1481,15 sept 2022,72,31,38,38,19,22,34,12,16,0.0,0.0,0.0,0.0,0.0
1482,16 sept 2022,22,10,17,18,7,13,4,3,4,0.0,0.0,0.0,0.0,0.0
1483,17 sept 2022,18,10,10,16,9,9,2,1,1,0.0,0.0,0.0,0.0,0.0
1484,18 sept 2022,5,3,5,2,1,2,1,1,1,2.0,1.0,0.0,0.0,2.0
1485,19 sept 2022,34,13,19,15,5,7,19,8,12,0.0,0.0,0.0,0.0,0.0
1486,20 sept 2022,37,14,17,13,4,7,24,10,10,0.0,0.0,0.0,0.0,0.0
1487,21 sept 2022,58,16,23,48,13,18,10,3,5,0.0,0.0,0.0,0.0,0.0
1488,22 sept 2022,8,7,8,4,4,4,4,3,4,0.0,0.0,0.0,0.0,0.0
1489,23 sept 2022,6,3,4,3,1,2,3,2,2,0.0,0.0,0.0,0.0,0.0
