Fecha,Agrupación de canales predeterminada,Número de vistas de página
18 may 2019,Direct,1
18 may 2019,Organic Search,9
19 may 2019,Organic Search,20
19 may 2019,Direct,9
20 may 2019,Social,4
20 may 2019,Organic Search,35
20 may 2019,Direct,23
21 may 2019,Social,2
21 may 2019,Organic Search,108
21 may 2019,Direct,21
22 may 2019,Organic Search,122
22 may 2019,Social,2
22 may 2019,Direct,21
22 may 2019,Referral,2
23 may 2019,Direct,19
23 may 2019,Social,2
23 may 2019,Organic Search,14
24 may 2019,Organic Search,203
24 may 2019,Direct,22
24 may 2019,Social,3
24 may 2019,Referral,1
25 may 2019,Organic Search,20
25 may 2019,Direct,13
25 may 2019,Social,5
26 may 2019,Organic Search,12
26 may 2019,Direct,3
26 may 2019,Social,1
27 may 2019,Organic Search,19
27 may 2019,Direct,9
27 may 2019,Social,4
28 may 2019,Organic Search,39
28 may 2019,Social,18
28 may 2019,Direct,20
29 may 2019,Direct,3
29 may 2019,Organic Search,22
30 may 2019,Direct,24
30 may 2019,Social,17
30 may 2019,Organic Search,61
31 may 2019,Direct,14
31 may 2019,Organic Search,67
1 jun 2019,Organic Search,7
1 jun 2019,Direct,12
1 jun 2019,Social,4
2 jun 2019,Direct,3
2 jun 2019,Organic Search,12
3 jun 2019,Direct,24
3 jun 2019,Social,1
3 jun 2019,Organic Search,23
3 jun 2019,Referral,1
4 jun 2019,Direct,7
4 jun 2019,Social,16
4 jun 2019,Organic Search,20
5 jun 2019,Social,3
5 jun 2019,Direct,62
5 jun 2019,Organic Search,124
6 jun 2019,Social,1
6 jun 2019,Organic Search,77
6 jun 2019,Direct,14
7 jun 2019,Organic Search,61
7 jun 2019,Social,2
7 jun 2019,Direct,14
8 jun 2019,Referral,2
8 jun 2019,Organic Search,7
8 jun 2019,Direct,42
9 jun 2019,Direct,20
9 jun 2019,Organic Search,9
10 jun 2019,Organic Search,44
10 jun 2019,Social,7
10 jun 2019,Direct,8
11 jun 2019,Organic Search,83
11 jun 2019,Social,1
11 jun 2019,Direct,12
12 jun 2019,Direct,9
12 jun 2019,Organic Search,32
12 jun 2019,Social,6
13 jun 2019,Organic Search,639
13 jun 2019,Direct,11
14 jun 2019,Organic Search,33
14 jun 2019,Social,1
14 jun 2019,Direct,16
15 jun 2019,Direct,31
15 jun 2019,Organic Search,18
15 jun 2019,Social,2
15 jun 2019,Referral,1
16 jun 2019,Social,1
16 jun 2019,Direct,2
16 jun 2019,Organic Search,7
17 jun 2019,Referral,1
17 jun 2019,Direct,10
17 jun 2019,Organic Search,83
18 jun 2019,Direct,47
18 jun 2019,Organic Search,51
18 jun 2019,Social,3
19 jun 2019,Social,3
19 jun 2019,Direct,23
19 jun 2019,Organic Search,17
20 jun 2019,Organic Search,2
20 jun 2019,Direct,10
21 jun 2019,Organic Search,48
21 jun 2019,Social,5
21 jun 2019,Direct,40
22 jun 2019,Social,7
22 jun 2019,Organic Search,7
22 jun 2019,Direct,24
23 jun 2019,Direct,8
23 jun 2019,Organic Search,6
24 jun 2019,Social,2
24 jun 2019,Organic Search,19
24 jun 2019,Direct,8
25 jun 2019,Referral,3
25 jun 2019,Organic Search,43
25 jun 2019,Direct,17
26 jun 2019,Direct,30
26 jun 2019,Organic Search,72
27 jun 2019,Direct,22
27 jun 2019,Organic Search,28
28 jun 2019,Organic Search,49
28 jun 2019,Direct,20
28 jun 2019,Referral,2
29 jun 2019,Organic Search,15
29 jun 2019,Direct,4
30 jun 2019,Direct,12
30 jun 2019,Referral,1
30 jun 2019,Organic Search,5
1 jul 2019,Organic Search,10
1 jul 2019,Direct,43
1 jul 2019,Social,1
2 jul 2019,Organic Search,36
2 jul 2019,Social,4
2 jul 2019,Direct,15
