Fecha,Categoría de dispositivo,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
14 may 2019,mobile,27,7,0,0,15
14 may 2019,tablet,1,0,0,0,1
15 may 2019,mobile,7,3,0,0,4
15 may 2019,desktop,11,3,0,0,5
16 may 2019,desktop,27,9,0,0,13
16 may 2019,mobile,11,3,0,0,6
17 may 2019,mobile,7,3,0,0,5
17 may 2019,desktop,61,18,0,0,29
18 may 2019,desktop,3,2,0,0,3
18 may 2019,mobile,7,4,0,0,4
19 may 2019,tablet,2,0,0,0,1
19 may 2019,mobile,8,2,0,0,5
19 may 2019,desktop,19,5,0,0,6
20 may 2019,tablet,2,1,0,0,2
20 may 2019,desktop,45,10,0,0,19
20 may 2019,mobile,15,6,0,0,7
21 may 2019,mobile,66,14,0,0,20
21 may 2019,desktop,65,5,0,0,13
22 may 2019,desktop,125,12,0,0,17
22 may 2019,mobile,22,7,0,0,13
23 may 2019,desktop,10,4,0,0,8
23 may 2019,mobile,25,9,0,0,14
24 may 2019,mobile,26,13,0,0,15
24 may 2019,desktop,203,14,0,0,20
25 may 2019,mobile,16,6,0,0,7
25 may 2019,desktop,22,5,0,0,12
26 may 2019,tablet,1,0,0,0,1
26 may 2019,mobile,1,0,0,0,1
26 may 2019,desktop,14,2,0,0,8
27 may 2019,desktop,30,5,0,0,17
27 may 2019,mobile,2,1,0,0,2
28 may 2019,mobile,51,24,0,0,35
28 may 2019,desktop,26,7,0,0,19
29 may 2019,desktop,12,4,0,0,5
29 may 2019,mobile,13,2,0,0,5
30 may 2019,mobile,46,6,0,0,12
30 may 2019,desktop,56,16,0,0,24
31 may 2019,desktop,74,8,0,0,24
31 may 2019,mobile,7,1,0,0,5
1 jun 2019,desktop,11,9,0,0,10
1 jun 2019,mobile,12,5,0,0,8
2 jun 2019,desktop,12,4,0,0,5
2 jun 2019,mobile,3,1,0,0,2
3 jun 2019,desktop,19,12,0,0,16
3 jun 2019,tablet,1,1,0,0,1
3 jun 2019,mobile,29,7,0,0,13
4 jun 2019,mobile,27,6,0,0,9
4 jun 2019,desktop,16,4,0,0,12
5 jun 2019,desktop,140,0,0,0,15
5 jun 2019,mobile,49,13,0,0,18
6 jun 2019,mobile,9,6,0,0,7
6 jun 2019,desktop,83,16,0,0,23
7 jun 2019,desktop,59,12,0,0,24
7 jun 2019,mobile,18,8,0,0,12
8 jun 2019,mobile,40,22,0,0,24
8 jun 2019,desktop,10,4,0,0,6
8 jun 2019,tablet,1,0,0,0,1
9 jun 2019,tablet,1,1,0,0,1
9 jun 2019,mobile,22,4,0,0,9
9 jun 2019,desktop,6,2,0,0,5
10 jun 2019,desktop,31,5,0,0,14
10 jun 2019,mobile,27,4,0,0,9
10 jun 2019,tablet,1,1,0,0,1
11 jun 2019,desktop,42,14,0,0,26
11 jun 2019,mobile,54,16,0,0,19
12 jun 2019,desktop,34,9,0,0,14
12 jun 2019,mobile,13,2,0,0,8
13 jun 2019,desktop,642,5,0,0,12
13 jun 2019,mobile,8,3,0,0,3
