,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,FreeBSD,Playstation 4,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Paid Search,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
97,13 ene 2019,11,4,5,1.0,5,10,1,10,1,0,3.6666666666666665,4.496912521077348,0,1,0,10,0,0,0,0,0,0,0,1.0,2.860387767736777,4,7,0,0,0,2.2,2.8565713714171403
98,14 ene 2019,6,2,2,1.5,3,5,1,1,5,0,2.0,2.160246899469287,0,5,0,1,0,0,0,0,0,0,0,0.5454545454545454,1.4373989364401731,1,5,0,0,0,1.2,1.939071942966532
99,15 ene 2019,6,4,4,1.0,4,4,2,6,0,0,2.0,2.8284271247461903,0,0,0,6,0,0,0,0,0,0,0,0.5454545454545454,1.7248787237282068,0,5,1,0,0,1.2,1.939071942966532
100,16 ene 2019,44,5,5,1.2,6,38,6,20,24,0,14.666666666666664,10.498677165349081,0,0,0,15,5,24,0,0,0,0,0,4.0,7.687061147858074,5,39,0,0,0,8.8,15.223665787188056
101,17 ene 2019,56,6,7,1.1428571428571428,8,56,0,50,6,0,18.666666666666668,22.291004663067323,0,6,0,50,0,0,0,0,0,0,0,5.090909090909091,14.304827827469774,0,56,0,0,0,11.2,22.4
102,18 ene 2019,37,7,8,1.0,8,36,1,31,6,0,12.333333333333336,13.424687043734846,0,5,1,31,0,0,0,0,0,0,0,3.363636363636364,8.855124117735214,1,36,0,0,0,7.4,14.305243793798134
103,19 ene 2019,34,6,9,1.2222222222222223,11,31,3,15,18,1,11.333333333333336,7.4087035902976215,0,16,2,15,0,1,0,0,0,0,0,3.0909090909090913,5.8845644846117295,0,33,1,0,0,6.8,13.1057239403247
104,20 ene 2019,33,5,5,1.2,6,17,16,12,16,5,11.0,4.546060565661952,0,16,0,6,11,0,0,0,0,0,0,3.0,5.34279463815095,0,33,0,0,0,6.6,13.2
105,21 ene 2019,21,4,4,1.0,4,2,19,21,0,0,7.0,9.899494936611664,0,0,0,21,0,0,0,0,0,0,0,1.9090909090909087,6.037075533048723,1,20,0,0,0,4.2,7.909487973314075
106,22 ene 2019,8,1,2,1.0,2,7,1,8,0,0,2.6666666666666665,3.771236166328253,0,0,0,7,1,0,0,0,0,0,0,0.7272727272727273,2.004127971368055,1,7,0,0,0,1.6,2.727636339397172
107,23 ene 2019,8,4,4,1.0,4,8,0,6,2,0,2.6666666666666665,2.494438257849294,0,2,0,6,0,0,0,0,0,0,0,0.7272727272727273,1.7627926754241194,1,7,0,0,0,1.6,2.727636339397172
108,24 ene 2019,77,13,13,1.0,13,49,28,46,31,0,25.66666666666667,19.154343864744856,0,31,0,46,0,0,0,0,0,0,0,7.0,15.189709435248348,20,56,1,0,0,15.4,21.68501786948768
